source_job,source_title,target_job,target_title,transition_probability,transition_type,tech_intensity,hot_tech_ratio,skill_gaps,skill_overlap
29-1224.00,Radiologists,29-9091.00,Athletic Trainers,0.0036834543562710258,different_minor,9.329411764705885,0.2941176470588235,"[{'skill': 'Technology Design', 'gap': 0.9635833293666811, 'type': 'skill_upgrade'}, {'skill': 'Operations Analysis', 'gap': 0.802529020252975, 'type': 'skill_upgrade'}, {'skill': 'Instructing', 'gap': 0.41889926370031605, 'type': 'skill_upgrade'}, {'skill': 'Management of Financial Resources', 'gap': 0.2713036900232272, 'type': 'skill_upgrade'}, {'skill': 'Persuasion', 'gap': 0.2415663155942307, 'type': 'skill_upgrade'}]","[{'skill': 'Negotiation', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Service Orientation', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Systems Analysis', 'gap': 0.2130453270927838, 'type': 'skill_overlap'}, {'skill': 'Systems Evaluation', 'gap': 0.21523167514777497, 'type': 'skill_overlap'}, {'skill': 'Learning Strategies', 'gap': 0.22955176041164904, 'type': 'skill_overlap'}, {'skill': 'Management of Personnel Resources', 'gap': 0.24284550622181367, 'type': 'skill_overlap'}, {'skill': 'Active Learning', 'gap': 0.24920265493004812, 'type': 'skill_overlap'}, {'skill': 'Monitoring', 'gap': 0.3128830898779884, 'type': 'skill_overlap'}, {'skill': 'Operations Monitoring', 'gap': 0.5055824263579769, 'type': 'skill_overlap'}, {'skill': 'Critical Thinking', 'gap': 0.5283905266051695, 'type': 'skill_overlap'}, {'skill': 'Judgment and Decision Making', 'gap': 0.5373248734289375, 'type': 'skill_overlap'}, {'skill': 'Social Perceptiveness', 'gap': 0.5396059952081877, 'type': 'skill_overlap'}, {'skill': 'Active Listening', 'gap': 0.5483947697099132, 'type': 'skill_overlap'}, {'skill': 'Quality Control Analysis', 'gap': 0.5654225906254448, 'type': 'skill_overlap'}, {'skill': 'Speaking', 'gap': 0.7616753026858459, 'type': 'skill_overlap'}, {'skill': 'Time Management', 'gap': 0.7620293646777264, 'type': 'skill_overlap'}, {'skill': 'Reading Comprehension', 'gap': 0.9039358953855596, 'type': 'skill_overlap'}, {'skill': 'Writing', 'gap': 0.976608832901674, 'type': 'skill_overlap'}, {'skill': 'Complex Problem Solving', 'gap': 1.5081292303072165, 'type': 'skill_overlap'}, {'skill': 'Science', 'gap': 1.537382819488336, 'type': 'skill_overlap'}]"
29-1224.00,Radiologists,29-2061.00,Licensed Practical and Licensed Vocational Nurses,0.003644247385588113,different_minor,6.317647058823531,0.3214285714285714,"[{'skill': 'Coordination', 'gap': 1.9634330905828365, 'type': 'skill_upgrade'}, {'skill': 'Service Orientation', 'gap': 0.9549540661787641, 'type': 'skill_upgrade'}, {'skill': 'Technology Design', 'gap': 0.6339364008991324, 'type': 'skill_upgrade'}, {'skill': 'Time Management', 'gap': 0.365774095045309, 'type': 'skill_upgrade'}, {'skill': 'Negotiation', 'gap': 0.26171072560826497, 'type': 'skill_upgrade'}, {'skill': 'Operations Analysis', 'gap': 0.20865754526577335, 'type': 'skill_upgrade'}]","[{'skill': 'Mathematics', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Persuasion', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Social Perceptiveness', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Systems Analysis', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Systems Evaluation', 'gap': 0.21523167514777497, 'type': 'skill_overlap'}, {'skill': 'Learning Strategies', 'gap': 0.22955176041164904, 'type': 'skill_overlap'}, {'skill': 'Management of Personnel Resources', 'gap': 0.24284550622181367, 'type': 'skill_overlap'}, {'skill': 'Operation and Control', 'gap': 0.29903279149371387, 'type': 'skill_overlap'}, {'skill': 'Monitoring', 'gap': 0.3128830898779884, 'type': 'skill_overlap'}, {'skill': 'Instructing', 'gap': 0.4538075356753415, 'type': 'skill_overlap'}, {'skill': 'Operations Monitoring', 'gap': 0.6832194950783469, 'type': 'skill_overlap'}, {'skill': 'Speaking', 'gap': 0.7616753026858459, 'type': 'skill_overlap'}, {'skill': 'Active Listening', 'gap': 0.8116242591706718, 'type': 'skill_overlap'}, {'skill': 'Critical Thinking', 'gap': 0.8146020618496359, 'type': 'skill_overlap'}, {'skill': 'Reading Comprehension', 'gap': 0.9039358953855596, 'type': 'skill_overlap'}, {'skill': 'Active Learning', 'gap': 0.9584717497309553, 'type': 'skill_overlap'}, {'skill': 'Judgment and Decision Making', 'gap': 1.1194268196436188, 'type': 'skill_overlap'}, {'skill': 'Science', 'gap': 1.2680602817677515, 'type': 'skill_overlap'}, {'skill': 'Writing', 'gap': 1.3704027171362199, 'type': 'skill_overlap'}, {'skill': 'Complex Problem Solving', 'gap': 1.5081292303072165, 'type': 'skill_overlap'}]"
29-1224.00,Radiologists,29-2091.00,Orthotists and Prosthetists,0.0031905141874364797,different_minor,9.603921568627449,0.2592592592592592,"[{'skill': 'Technology Design', 'gap': 3.499328932963211, 'type': 'skill_upgrade'}, {'skill': 'Operations Analysis', 'gap': 2.4075870607589254, 'type': 'skill_upgrade'}, {'skill': 'Equipment Selection', 'gap': 0.9258696645098394, 'type': 'skill_upgrade'}, {'skill': 'Repairing', 'gap': 0.5933846854905364, 'type': 'skill_upgrade'}, {'skill': 'Equipment Maintenance', 'gap': 0.4551843240128027, 'type': 'skill_upgrade'}, {'skill': 'Service Orientation', 'gap': 0.2482880572064785, 'type': 'skill_upgrade'}, {'skill': 'Persuasion', 'gap': 0.2415663155942307, 'type': 'skill_upgrade'}, {'skill': 'Mathematics', 'gap': 0.20369786910284182, 'type': 'skill_upgrade'}, {'skill': 'Troubleshooting', 'gap': 0.15746343265115698, 'type': 'skill_upgrade'}]","[{'skill': 'Coordination', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Management of Material Resources', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Negotiation', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Operations Monitoring', 'gap': 0.1639726788188034, 'type': 'skill_overlap'}, {'skill': 'Quality Control Analysis', 'gap': 0.1833802996623065, 'type': 'skill_overlap'}, {'skill': 'Writing', 'gap': 0.18902106443258226, 'type': 'skill_overlap'}, {'skill': 'Systems Analysis', 'gap': 0.2130453270927838, 'type': 'skill_overlap'}, {'skill': 'Systems Evaluation', 'gap': 0.21523167514777497, 'type': 'skill_overlap'}, {'skill': 'Learning Strategies', 'gap': 0.22955176041164904, 'type': 'skill_overlap'}, {'skill': 'Active Learning', 'gap': 0.24920265493004812, 'type': 'skill_overlap'}, {'skill': 'Critical Thinking', 'gap': 0.2641952633025848, 'type': 'skill_overlap'}, {'skill': 'Reading Comprehension', 'gap': 0.4519679476927798, 'type': 'skill_overlap'}, {'skill': 'Instructing', 'gap': 0.4538075356753415, 'type': 'skill_overlap'}, {'skill': 'Complex Problem Solving', 'gap': 0.5027097434357388, 'type': 'skill_overlap'}, {'skill': 'Speaking', 'gap': 0.5146454747877336, 'type': 'skill_overlap'}, {'skill': 'Social Perceptiveness', 'gap': 0.5396059952081877, 'type': 'skill_overlap'}, {'skill': 'Active Listening', 'gap': 0.5483947697099132, 'type': 'skill_overlap'}, {'skill': 'Operation and Control', 'gap': 0.7245794563116917, 'type': 'skill_overlap'}, {'skill': 'Science', 'gap': 0.9762941992371186, 'type': 'skill_overlap'}, {'skill': 'Time Management', 'gap': 1.1582846343101438, 'type': 'skill_overlap'}, {'skill': 'Monitoring', 'gap': 1.6165626310362722, 'type': 'skill_overlap'}]"
29-1224.00,Radiologists,29-9092.00,Genetic Counselors,0.003177612449728684,different_minor,7.376470588235294,0.24,"[{'skill': 'Negotiation', 'gap': 0.5032898569389714, 'type': 'skill_upgrade'}, {'skill': 'Persuasion', 'gap': 0.2415663155942307, 'type': 'skill_upgrade'}, {'skill': 'Systems Analysis', 'gap': 0.21304532709278368, 'type': 'skill_upgrade'}]","[{'skill': 'Active Learning', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Complex Problem Solving', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Systems Evaluation', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Mathematics', 'gap': 0.22067269152807828, 'type': 'skill_overlap'}, {'skill': 'Reading Comprehension', 'gap': 0.23502333280024534, 'type': 'skill_overlap'}, {'skill': 'Management of Personnel Resources', 'gap': 0.24284550622181367, 'type': 'skill_overlap'}, {'skill': 'Social Perceptiveness', 'gap': 0.25901087769993025, 'type': 'skill_overlap'}, {'skill': 'Writing', 'gap': 0.3780421288651643, 'type': 'skill_overlap'}, {'skill': 'Learning Strategies', 'gap': 0.44144569309932535, 'type': 'skill_overlap'}, {'skill': 'Instructing', 'gap': 0.4538075356753415, 'type': 'skill_overlap'}, {'skill': 'Critical Thinking', 'gap': 0.5283905266051695, 'type': 'skill_overlap'}, {'skill': 'Active Listening', 'gap': 0.5483947697099132, 'type': 'skill_overlap'}, {'skill': 'Science', 'gap': 0.5610886202512175, 'type': 'skill_overlap'}, {'skill': 'Speaking', 'gap': 0.7616753026858459, 'type': 'skill_overlap'}, {'skill': 'Service Orientation', 'gap': 0.9549540661787639, 'type': 'skill_overlap'}, {'skill': 'Time Management', 'gap': 1.1582846343101438, 'type': 'skill_overlap'}]"
29-1224.00,Radiologists,29-2031.00,Cardiovascular Technologists and Technicians,0.0031158764300247823,different_minor,8.262538699690403,0.3157894736842105,"[{'skill': 'Equipment Maintenance', 'gap': 1.197853484244218, 'type': 'skill_upgrade'}, {'skill': 'Repairing', 'gap': 0.8900770282358045, 'type': 'skill_upgrade'}, {'skill': 'Operations Monitoring', 'gap': 0.860856563798717, 'type': 'skill_upgrade'}, {'skill': 'Troubleshooting', 'gap': 0.6560976360464867, 'type': 'skill_upgrade'}, {'skill': 'Technology Design', 'gap': 0.6339364008991324, 'type': 'skill_upgrade'}, {'skill': 'Equipment Selection', 'gap': 0.5584610674821253, 'type': 'skill_upgrade'}, {'skill': 'Programming', 'gap': 0.4755240092575913, 'type': 'skill_upgrade'}, {'skill': 'Operation and Control', 'gap': 0.27603026907112105, 'type': 'skill_upgrade'}]","[{'skill': 'Persuasion', 'gap': 0.26169684189374953, 'type': 'skill_overlap'}, {'skill': 'Negotiation', 'gap': 0.26171072560826497, 'type': 'skill_overlap'}, {'skill': 'Mathematics', 'gap': 0.4413453830561565, 'type': 'skill_overlap'}, {'skill': 'Quality Control Analysis', 'gap': 0.5654225906254448, 'type': 'skill_overlap'}, {'skill': 'Monitoring', 'gap': 0.6518397705791419, 'type': 'skill_overlap'}, {'skill': 'Learning Strategies', 'gap': 0.6533396257870017, 'type': 'skill_overlap'}, {'skill': 'Instructing', 'gap': 0.6632571675254995, 'type': 'skill_overlap'}, {'skill': 'Service Orientation', 'gap': 0.7066660089722855, 'type': 'skill_overlap'}, {'skill': 'Active Listening', 'gap': 0.8116242591706718, 'type': 'skill_overlap'}, {'skill': 'Critical Thinking', 'gap': 0.8146020618496359, 'type': 'skill_overlap'}, {'skill': 'Social Perceptiveness', 'gap': 0.8202011127164451, 'type': 'skill_overlap'}, {'skill': 'Science', 'gap': 0.8416329303768264, 'type': 'skill_overlap'}, {'skill': 'Speaking', 'gap': 1.0292909495754672, 'type': 'skill_overlap'}, {'skill': 'Reading Comprehension', 'gap': 1.138959228185805, 'type': 'skill_overlap'}, {'skill': 'Active Learning', 'gap': 1.4568770595910516, 'type': 'skill_overlap'}]"
15-1251.00,Computer Programmers,15-2099.01,"Mathematical Science Occupations, All Other",0.0017078359725650647,different_minor,18.652941176470588,0.6,"[{'skill': 'Negotiation', 'gap': 0.7650005825472365, 'type': 'skill_upgrade'}, {'skill': 'Active Learning', 'gap': 0.7284385297955259, 'type': 'skill_upgrade'}, {'skill': 'Reading Comprehension', 'gap': 0.6689125625853144, 'type': 'skill_upgrade'}, {'skill': 'Instructing', 'gap': 0.6632571675254995, 'type': 'skill_upgrade'}, {'skill': 'Learning Strategies', 'gap': 0.6533396257870018, 'type': 'skill_upgrade'}, {'skill': 'Monitoring', 'gap': 0.6518397705791419, 'type': 'skill_upgrade'}, {'skill': 'Judgment and Decision Making', 'gap': 0.5597134098218094, 'type': 'skill_upgrade'}, {'skill': 'Speaking', 'gap': 0.5352312937792425, 'type': 'skill_upgrade'}, {'skill': 'Operations Monitoring', 'gap': 0.5055824263579769, 'type': 'skill_upgrade'}, {'skill': 'Service Orientation', 'gap': 0.47747703308938194, 'type': 'skill_upgrade'}, {'skill': 'Mathematics', 'gap': 0.44134538305615645, 'type': 'skill_upgrade'}, {'skill': 'Science', 'gap': 0.41520557898590105, 'type': 'skill_upgrade'}, {'skill': 'Writing', 'gap': 0.3937938842345459, 'type': 'skill_upgrade'}, {'skill': 'Persuasion', 'gap': 0.2616968418937495, 'type': 'skill_upgrade'}, {'skill': 'Equipment Selection', 'gap': 0.1763561265733029, 'type': 'skill_upgrade'}, {'skill': 'Equipment Maintenance', 'gap': 0.1437424181093062, 'type': 'skill_upgrade'}, {'skill': 'Repairing', 'gap': 0.14241232451772878, 'type': 'skill_upgrade'}]","[{'skill': 'Management of Personnel Resources', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Systems Evaluation', 'gap': 0.21523167514777497, 'type': 'skill_overlap'}, {'skill': 'Systems Analysis', 'gap': 0.23079910435051532, 'type': 'skill_overlap'}, {'skill': 'Complex Problem Solving', 'gap': 0.5027097434357388, 'type': 'skill_overlap'}, {'skill': 'Technology Design', 'gap': 1.5975197302658135, 'type': 'skill_overlap'}, {'skill': 'Operations Analysis', 'gap': 1.6050580405059502, 'type': 'skill_overlap'}, {'skill': 'Programming', 'gap': 3.2296005628744715, 'type': 'skill_overlap'}]"
15-1251.00,Computer Programmers,15-2051.02,Data Scientists,0.0016668890992620588,different_minor,14.612177502579978,0.3684210526315789,"[{'skill': 'Monitoring', 'gap': 1.6165626310362722, 'type': 'skill_upgrade'}, {'skill': 'Speaking', 'gap': 1.5645222433547095, 'type': 'skill_upgrade'}, {'skill': 'Equipment Selection', 'gap': 1.2932782615375535, 'type': 'skill_upgrade'}, {'skill': 'Coordination', 'gap': 0.9948060992286369, 'type': 'skill_upgrade'}, {'skill': 'Active Learning', 'gap': 0.9584717497309554, 'type': 'skill_upgrade'}, {'skill': 'Service Orientation', 'gap': 0.9549540661787639, 'type': 'skill_upgrade'}, {'skill': 'Reading Comprehension', 'gap': 0.9039358953855596, 'type': 'skill_upgrade'}, {'skill': 'Learning Strategies', 'gap': 0.8828913861986507, 'type': 'skill_upgrade'}, {'skill': 'Instructing', 'gap': 0.8727067993756574, 'type': 'skill_upgrade'}, {'skill': 'Time Management', 'gap': 0.7925105392648348, 'type': 'skill_upgrade'}, {'skill': 'Writing', 'gap': 0.7875877684690917, 'type': 'skill_upgrade'}, {'skill': 'Management of Personnel Resources', 'gap': 0.7690107697024092, 'type': 'skill_upgrade'}, {'skill': 'Negotiation', 'gap': 0.7650005825472365, 'type': 'skill_upgrade'}, {'skill': 'Operation and Control', 'gap': 0.7245794563116916, 'type': 'skill_upgrade'}, {'skill': 'Mathematics', 'gap': 0.6450432521589984, 'type': 'skill_upgrade'}, {'skill': 'Critical Thinking', 'gap': 0.5504067985470511, 'type': 'skill_upgrade'}, {'skill': 'Active Listening', 'gap': 0.2851652802491546, 'type': 'skill_upgrade'}, {'skill': 'Persuasion', 'gap': 0.2616968418937495, 'type': 'skill_upgrade'}]","[{'skill': 'Systems Evaluation', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Systems Analysis', 'gap': 0.23079910435051532, 'type': 'skill_overlap'}, {'skill': 'Science', 'gap': 0.4152055789859011, 'type': 'skill_overlap'}, {'skill': 'Complex Problem Solving', 'gap': 0.5027097434357388, 'type': 'skill_overlap'}, {'skill': 'Operations Analysis', 'gap': 0.5938714749872018, 'type': 'skill_overlap'}, {'skill': 'Quality Control Analysis', 'gap': 1.5281691638525525, 'type': 'skill_overlap'}, {'skill': 'Technology Design', 'gap': 2.5357456035965296, 'type': 'skill_overlap'}, {'skill': 'Programming', 'gap': 2.9720250578599434, 'type': 'skill_overlap'}]"
15-1251.00,Computer Programmers,15-2041.00,Statisticians,0.0016071034360868829,different_minor,19.2615515771526,0.3623188405797101,"[{'skill': 'Mathematics', 'gap': 2.9875687468416765, 'type': 'skill_upgrade'}, {'skill': 'Speaking', 'gap': 1.5645222433547095, 'type': 'skill_upgrade'}, {'skill': 'Learning Strategies', 'gap': 1.3066792515740033, 'type': 'skill_upgrade'}, {'skill': 'Active Learning', 'gap': 1.2076744046610035, 'type': 'skill_upgrade'}, {'skill': 'Reading Comprehension', 'gap': 1.120880510278094, 'type': 'skill_upgrade'}, {'skill': 'Science', 'gap': 0.8416329303768262, 'type': 'skill_upgrade'}, {'skill': 'Writing', 'gap': 0.7875877684690917, 'type': 'skill_upgrade'}, {'skill': 'Instructing', 'gap': 0.6632571675254995, 'type': 'skill_upgrade'}, {'skill': 'Critical Thinking', 'gap': 0.5504067985470511, 'type': 'skill_upgrade'}, {'skill': 'Judgment and Decision Making', 'gap': 0.2910509731073407, 'type': 'skill_upgrade'}, {'skill': 'Active Listening', 'gap': 0.2851652802491546, 'type': 'skill_upgrade'}, {'skill': 'Complex Problem Solving', 'gap': 0.261409066586584, 'type': 'skill_upgrade'}]","[{'skill': 'Systems Evaluation', 'gap': 0.21523167514777497, 'type': 'skill_overlap'}, {'skill': 'Operations Analysis', 'gap': 0.3852139297214283, 'type': 'skill_overlap'}, {'skill': 'Systems Analysis', 'gap': 0.6746435357938144, 'type': 'skill_overlap'}, {'skill': 'Programming', 'gap': 3.467362567503267, 'type': 'skill_overlap'}]"
15-1251.00,Computer Programmers,15-2021.00,Mathematicians,0.0016003266193488582,different_minor,20.84640522875817,0.3666666666666666,"[{'skill': 'Mathematics', 'gap': 3.1912666159445187, 'type': 'skill_upgrade'}, {'skill': 'Learning Strategies', 'gap': 1.7657827723973014, 'type': 'skill_upgrade'}, {'skill': 'Active Learning', 'gap': 1.6869102795264812, 'type': 'skill_upgrade'}, {'skill': 'Reading Comprehension', 'gap': 1.120880510278094, 'type': 'skill_upgrade'}, {'skill': 'Critical Thinking', 'gap': 1.1008135970941024, 'type': 'skill_upgrade'}, {'skill': 'Instructing', 'gap': 1.0821564312258154, 'type': 'skill_upgrade'}, {'skill': 'Science', 'gap': 0.9762941992371186, 'type': 'skill_upgrade'}, {'skill': 'Complex Problem Solving', 'gap': 0.7440104202848938, 'type': 'skill_upgrade'}, {'skill': 'Judgment and Decision Making', 'gap': 0.5597134098218094, 'type': 'skill_upgrade'}, {'skill': 'Speaking', 'gap': 0.5352312937792425, 'type': 'skill_upgrade'}, {'skill': 'Writing', 'gap': 0.3937938842345459, 'type': 'skill_upgrade'}]","[{'skill': 'Systems Evaluation', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Systems Analysis', 'gap': 0.23079910435051532, 'type': 'skill_overlap'}, {'skill': 'Operations Analysis', 'gap': 0.9951359851136893, 'type': 'skill_overlap'}, {'skill': 'Programming', 'gap': 4.458037586789915, 'type': 'skill_overlap'}]"
15-1251.00,Computer Programmers,15-2031.00,Operations Research Analysts,0.0015733253752925945,different_minor,17.90856553147575,0.4122807017543859,"[{'skill': 'Mathematics', 'gap': 2.3425254946826786, 'type': 'skill_upgrade'}, {'skill': 'Speaking', 'gap': 1.811552071252822, 'type': 'skill_upgrade'}, {'skill': 'Active Learning', 'gap': 1.4568770595910516, 'type': 'skill_upgrade'}, {'skill': 'Judgment and Decision Making', 'gap': 1.4104777927509593, 'type': 'skill_upgrade'}, {'skill': 'Systems Evaluation', 'gap': 1.3631339426025733, 'type': 'skill_upgrade'}, {'skill': 'Writing', 'gap': 1.1813816527036376, 'type': 'skill_upgrade'}, {'skill': 'Reading Comprehension', 'gap': 1.120880510278094, 'type': 'skill_upgrade'}, {'skill': 'Learning Strategies', 'gap': 1.094785318886327, 'type': 'skill_upgrade'}, {'skill': 'Operations Analysis', 'gap': 1.0111865655187484, 'type': 'skill_upgrade'}, {'skill': 'Service Orientation', 'gap': 0.9549540661787639, 'type': 'skill_upgrade'}, {'skill': 'Systems Analysis', 'gap': 0.8876888628865984, 'type': 'skill_upgrade'}, {'skill': 'Instructing', 'gap': 0.8727067993756574, 'type': 'skill_upgrade'}, {'skill': 'Complex Problem Solving', 'gap': 0.7440104202848938, 'type': 'skill_upgrade'}, {'skill': 'Science', 'gap': 0.5610886202512175, 'type': 'skill_upgrade'}, {'skill': 'Critical Thinking', 'gap': 0.5504067985470511, 'type': 'skill_upgrade'}, {'skill': 'Active Listening', 'gap': 0.5483947697099132, 'type': 'skill_upgrade'}, {'skill': 'Persuasion', 'gap': 0.5233936837874991, 'type': 'skill_upgrade'}, {'skill': 'Coordination', 'gap': 0.3141492944932541, 'type': 'skill_upgrade'}]","[{'skill': 'Management of Personnel Resources', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Time Management', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Technology Design', 'gap': 2.5357456035965296, 'type': 'skill_overlap'}, {'skill': 'Programming', 'gap': 4.220275582161119, 'type': 'skill_overlap'}]"
